{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,140,1,3835.0,,0,,"LINESTRING (9.923923 53.517757,9.923975 53.517748,9.924142 53.517732,9.924399 53.517715,9.924736 53.517719,9.925022 53.517738,9.925270 53.517775,9.925449 53.517808,9.925603 53.517845,9.925769 53.517893,9.926062 53.517997,9.926318 53.518117,9.926563 53.518257,9.926818 53.518433,9.926977 53.518560,9.927079 53.518648,9.927214 53.518769,9.927514 53.519069,9.928243 53.519813,9.928870 53.520448,9.929026 53.520607,9.929207 53.520782,9.929402 53.520959,9.929617 53.521135,9.929862 53.521307,9.930009 53.521399,9.930167 53.521490,9.930293 53.521557,9.930498 53.521658,9.930738 53.521768,9.931021 53.521876,9.931237 53.521947,9.931494 53.522027,9.931769 53.522100,9.932023 53.522162,9.932319 53.522213,9.932581 53.522254,9.932903 53.522290,9.933218 53.522317,9.933495 53.522331,9.933744 53.522336,9.934043 53.522329,9.934380 53.522313,9.934706 53.522287,9.935062 53.522248,9.938726 53.521810)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,139,1,3835.0,,0,,"LINESTRING (9.938726 53.521810,9.940623 53.521583)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,137,1,3835.0,,0,,"LINESTRING (9.940623 53.521583,9.940880 53.521552,9.941873 53.521435,9.942217 53.521388,9.942571 53.521335,9.943250 53.521234,9.943744 53.521151)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,139,1,3835.0,,0,,"LINESTRING (9.943744 53.521151,9.944088 53.521093,9.944608 53.520989,9.945134 53.520886,9.946997 53.520464,9.949068 53.520000,9.951085 53.519546,9.958272 53.517930,9.959636 53.517623,9.961751 53.517147,9.963440 53.516766)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,139,1,3835.0,,0,,"LINESTRING (9.963440 53.516766,9.963722 53.516702,9.964423 53.516544,9.965232 53.516357)",EPSG:4326
242500091 242500093,B,3,B 3,Köhlbrandbrücke,2,139,1,3835.0,,0,,"LINESTRING (9.965232 53.516357,9.965242 53.516354,9.965369 53.516308,9.965624 53.516219,9.965826 53.516167,9.966005 53.516124,9.966253 53.516086,9.966490 53.516059,9.966747 53.516043,9.966932 53.516038,9.967058 53.516039,9.967172 53.516044,9.967333 53.516055,9.967475 53.516068,9.967730 53.516104,9.967893 53.516133,9.968037 53.516165,9.968202 53.516206,9.968373 53.516265,9.968539 53.516321,9.968720 53.516392,9.968899 53.516475,9.969064 53.516560,9.969228 53.516655,9.969371 53.516747,9.969469 53.516817)",EPSG:4326
242600013A 242600013B,B,5,B 5,Bergedorfer Straße,2,601,6,510.0,,0,,"LINESTRING (10.147765 53.521457,10.147992 53.521351,10.148092 53.521309,10.148168 53.521279,10.148323 53.521221,10.148563 53.521135,10.148865 53.521027,10.150396 53.520479,10.150583 53.520413,10.150738 53.520358)",EPSG:4326
242600013A 242600013B,B,5,B 5,Bergedorfer Straße,2,601,6,510.0,,0,,"LINESTRING (10.150738 53.520358,10.150786 53.520341,10.151031 53.520252,10.151140 53.520211,10.151236 53.520172,10.151373 53.520115,10.151489 53.520064,10.151911 53.519875,10.152280 53.519704,10.152725 53.519496,10.153117 53.519313,10.153857 53.518971,10.154114 53.518846)",EPSG:4326
232500067 232500068,B,447,B 447,Kollaustraße,2,317,3,116.0,,0,,"LINESTRING (9.962914 53.600887,9.962992 53.600717,9.963012 53.600675,9.963022 53.600653,9.963031 53.600634,9.963041 53.600615,9.963049 53.600599,9.963061 53.600579,9.963075 53.600556,9.963097 53.600521,9.963152 53.600438,9.963214 53.600346,9.963307 53.600211,9.963323 53.600189,9.963340 53.600166,9.963360 53.600142,9.963428 53.600067,9.963433 53.600060,9.963438 53.600052,9.963440 53.600046,9.963442 53.600039,9.963443 53.600032,9.963443 53.600024,9.963442 53.600012,9.963440 53.600001,9.963436 53.599989,9.963432 53.599979,9.963426 53.599968,9.963420 53.599957,9.963413 53.599949,9.963406 53.599940,9.963399 53.599933,9.963391 53.599925,9.963382 53.599918,9.963372 53.599910)",EPSG:4326
242600126 242600003,B,4,B 4,Billhorner Brückenstraße,2,133,1,849.0,,0,,"LINESTRING (10.028200 53.534200,10.028554 53.534584,10.029013 53.535101,10.029274 53.535427)",EPSG:4326
242600249 242500015,B,4,B 4,Willy-Brandt-Straße,2,101,1,723.0,,0,,"LINESTRING (9.999713 53.547657,9.999692 53.547658,9.999432 53.547658,9.999201 53.547651,9.998861 53.547633,9.998324 53.547586,9.997951 53.547558)",EPSG:4326
242600249 242500015,B,4,B 4,Willy-Brandt-Straße,2,101,1,723.0,,0,,"LINESTRING (9.997951 53.547558,9.997910 53.547554,9.997110 53.547505,9.996790 53.547509)",EPSG:4326
242600249 242500015,B,4,B 4,Willy-Brandt-Straße,2,102,1,723.0,,0,,"LINESTRING (9.996790 53.547509,9.996741 53.547509,9.996297 53.547479,9.995914 53.547452,9.995597 53.547425,9.994961 53.547374,9.993875 53.547301,9.993788 53.547302,9.993152 53.547263,9.992706 53.547248,9.992273 53.547235,9.991955 53.547220,9.990954 53.547185,9.990643 53.547181,9.990418 53.547184,9.990143 53.547194,9.989963 53.547204,9.989767 53.547217,9.989351 53.547263,9.989147 53.547290,9.988828 53.547326)",EPSG:4326
242600140 242600249,B,4,B 4,Willy-Brandt-Straße,2,101,1,73.0,,0,,"LINESTRING (10.000818 53.547649,10.000717 53.547655,10.000606 53.547660,10.000492 53.547663,10.000347 53.547666,10.000211 53.547666,10.000059 53.547665,9.999912 53.547663,9.999806 53.547661,9.999713 53.547657)",EPSG:4326
242600140 242600256,B,4,B 4,Willy-Brandt-Straße,2,101,1,18.0,,0,,"LINESTRING (10.000818 53.547649,10.000796 53.547616,10.000776 53.547579,10.000754 53.547539,10.000734 53.547495)",EPSG:4326
242600137 242600058,B,4,B 4,Willy-Brandt-Straße,2,101,1,37.0,,0,,"LINESTRING (10.003051 53.547381,10.002954 53.547381,10.002838 53.547386,10.002722 53.547395,10.002606 53.547407,10.002517 53.547418)",EPSG:4326
242600137 242600058,B,4,B 4,Willy-Brandt-Straße,2,101,1,37.0,,0,,"LINESTRING (10.002517 53.547418,10.002502 53.547420)",EPSG:4326
242600058 242600140,B,4,B 4,Willy-Brandt-Straße,2,101,1,114.0,,0,,"LINESTRING (10.002502 53.547420,10.002331 53.547444,10.002111 53.547477,10.001916 53.547509,10.001742 53.547537,10.001666 53.547549)",EPSG:4326
242600058 242600140,B,4,B 4,Willy-Brandt-Straße,2,101,1,114.0,,0,,"LINESTRING (10.001666 53.547549,10.001566 53.547565,10.001483 53.547577,10.001393 53.547590,10.001306 53.547601,10.001219 53.547612,10.001130 53.547621,10.000996 53.547634,10.000893 53.547643,10.000818 53.547649)",EPSG:4326
242600058 242600256,B,4,B 4,Willy-Brandt-Straße,2,101,1,117.0,,0,,"LINESTRING (10.002502 53.547420,10.001207 53.547495,10.001162 53.547497,10.001119 53.547499,10.001077 53.547499,10.000734 53.547495)",EPSG:4326
242600249 242600256,B,4,B 4,Willy-Brandt-Straße,2,101,1,70.0,,0,,"LINESTRING (9.999713 53.547657,10.000004 53.547631,10.000112 53.547620,10.000231 53.547608,10.000276 53.547603,10.000323 53.547596,10.000362 53.547589,10.000403 53.547582,10.000452 53.547570,10.000594 53.547533,10.000734 53.547495)",EPSG:4326
242600137 242600256,B,4,B 4,Willy-Brandt-Straße,2,101,1,156.0,,0,,"LINESTRING (10.003051 53.547381,10.002935 53.547365,10.002872 53.547357,10.002819 53.547353,10.002769 53.547350,10.002719 53.547347,10.002654 53.547345,10.002594 53.547344,10.002517 53.547345,10.001546 53.547377,10.001458 53.547380,10.001351 53.547385,10.001287 53.547391,10.001218 53.547398,10.001164 53.547404,10.001117 53.547411,10.001066 53.547419,10.000996 53.547432,10.000947 53.547443,10.000904 53.547452,10.000829 53.547470,10.000734 53.547495)",EPSG:4326
242600046 242615922,B,5,B 5,Schürbeker Bogen,2,415,4,59.0,,0,,"LINESTRING (10.028246 53.569298,10.028154 53.569251,10.028076 53.569216,10.027913 53.569156,10.027697 53.569076)",EPSG:4326
242600046 242615922,B,5,B 5,Schürbeker Bogen,2,415,4,59.0,,0,,"LINESTRING (10.027697 53.569076,10.027653 53.569060,10.027507 53.569002)",EPSG:4326
242615922 242600294,B,5,B 5,Schürbeker Bogen,2,415,4,64.0,,0,,"LINESTRING (10.027507 53.569002,10.027508 53.569002,10.027466 53.568988,10.027410 53.568975,10.027363 53.568967,10.027298 53.568961,10.027218 53.568959)",EPSG:4326
242615922 242600294,B,5,B 5,Schürbeker Bogen,2,415,4,64.0,,0,,"LINESTRING (10.027218 53.568959,10.027214 53.568959,10.027155 53.568962,10.027106 53.568965,10.027065 53.568971,10.027007 53.568982,10.026950 53.568997,10.026913 53.569013,10.026877 53.569032,10.026835 53.569057,10.026813 53.569075,10.026702 53.569174)",EPSG:4326
242600034 242600036,B,75,B 75,Heidenkampsweg,2,117,1,1228.0,,0,,"LINESTRING (10.026719 53.550463,10.026529 53.550816,10.026192 53.551410)",EPSG:4326
242600036 242600037,B,75,B 75,Anckelmannsplatz,2,117,1,53.0,,0,,"LINESTRING (10.026192 53.551410,10.025847 53.551848)",EPSG:4326
242600104 242600126,B,4,B 4,Neue Elbbrücke,2,134,1,358.0,,0,,"LINESTRING (10.024754 53.530435,10.024758 53.530440,10.026039 53.531840,10.026075 53.531879)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.963312 53.558380,9.963130 53.558477,9.962955 53.558573,9.962694 53.558714,9.962455 53.558835)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.962455 53.558835,9.962455 53.558835,9.962274 53.558895,9.961859 53.559135,9.961807 53.559165,9.961733 53.559212)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.961733 53.559212,9.961681 53.559246,9.961566 53.559320,9.961528 53.559344)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.961528 53.559344,9.961315 53.559478,9.961239 53.559525,9.961172 53.559564)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.961172 53.559564,9.961124 53.559591,9.961018 53.559644,9.960842 53.559724,9.960512 53.559854,9.960238 53.559959)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,110,1,647.0,,0,,"LINESTRING (9.960238 53.559959,9.959894 53.560090,9.959817 53.560117)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,206,2,647.0,,0,,"LINESTRING (9.959817 53.560117,9.959699 53.560157)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,206,2,647.0,,0,,"LINESTRING (9.959699 53.560157,9.959689 53.560160,9.959623 53.560180,9.959329 53.560284,9.959040 53.560381,9.958706 53.560488,9.958558 53.560533,9.958482 53.560555,9.958410 53.560574,9.958296 53.560600,9.957752 53.560711,9.957396 53.560782,9.956583 53.560945,9.956137 53.561037,9.955142 53.561240)",EPSG:4326
242500139 242500014,B,4,B 4,Stresemannstraße,2,208,2,647.0,,0,,"LINESTRING (9.955142 53.561240,9.955129 53.561243,9.955016 53.561269)",EPSG:4326
242500014 242500013,B,4,B 4,Stresemannstraße,2,208,2,437.0,,0,,"LINESTRING (9.955016 53.561269,9.954627 53.561361,9.954095 53.561487,9.953768 53.561562,9.953486 53.561629)",EPSG:4326
242500014 242500013,B,4,B 4,Stresemannstraße,2,208,2,437.0,,0,,"LINESTRING (9.953486 53.561629,9.953474 53.561632,9.953008 53.561734,9.952745 53.561783)",EPSG:4326
242500014 242500013,B,4,B 4,Stresemannstraße,2,208,2,437.0,,0,,"LINESTRING (9.952745 53.561783,9.952721 53.561787,9.952587 53.561808,9.952089 53.561877,9.950143 53.562123,9.949923 53.562147,9.949869 53.562151)",EPSG:4326
242500014 242500013,B,4,B 4,Stresemannstraße,2,208,2,437.0,,0,,"LINESTRING (9.949869 53.562151,9.949704 53.562162)",EPSG:4326
242500014 242500013,B,4,B 4,Stresemannstraße,2,208,2,437.0,,0,,"LINESTRING (9.949704 53.562162,9.949575 53.562170,9.949340 53.562193,9.948989 53.562238,9.948853 53.562260,9.948683 53.562307,9.948684 53.562307)",EPSG:4326
242500013 242500002,B,4,B 4,Stresemannstraße,2,208,2,230.0,,0,,"LINESTRING (9.948684 53.562307,9.948560 53.562340)",EPSG:4326
242500013 242500002,B,4,B 4,Stresemannstraße,2,209,2,230.0,,0,,"LINESTRING (9.948560 53.562340,9.948537 53.562346,9.947635 53.562539)",EPSG:4326
242500013 242500002,B,4,B 4,Stresemannstraße,2,209,2,230.0,,0,,"LINESTRING (9.947635 53.562539,9.947085 53.562657,9.946177 53.562840)",EPSG:4326
242500013 242500002,B,4,B 4,Stresemannstraße,2,209,2,230.0,,0,,"LINESTRING (9.946177 53.562840,9.946154 53.562845,9.945923 53.562893,9.945618 53.562954,9.945403 53.562996)",EPSG:4326
242600104 242600126,B,4,B 4,Neue Elbbrücke,2,104,1,358.0,,0,,"LINESTRING (10.026075 53.531879,10.026876 53.532755,10.027237 53.533142,10.027337 53.533262)",EPSG:4326
242500018 242500017,B,4,B 4,Budapester Straße,2,111,1,64.0,,0,,"LINESTRING (9.969886 53.550771,9.969285 53.551060,9.969136 53.551135)",EPSG:4326
242500017 242500260,B,4,B 4,Budapester Straße,2,111,1,703.0,,0,,"LINESTRING (9.969136 53.551135,9.969004 53.551201,9.968949 53.551226)",EPSG:4326
242500017 242500260,B,4,B 4,Budapester Straße,2,111,1,703.0,,0,,"LINESTRING (9.968949 53.551226,9.968435 53.551456,9.967702 53.551782,9.967566 53.551846,9.967309 53.551989,9.967307 53.551990)",EPSG:4326
