{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600007 242600012,A,1,A 1,BAB A1,2,130,1,3585.0,,0,E22,"LINESTRING (10.133305 53.527369,10.133225 53.527300,10.132985 53.527093,10.132881 53.527004,10.132706 53.526857,10.132530 53.526712,10.132352 53.526566,10.132174 53.526422,10.131995 53.526277,10.131814 53.526133,10.131634 53.525989,10.131451 53.525847,10.131269 53.525705,10.131084 53.525562,10.130898 53.525419,10.130713 53.525278,10.130529 53.525136,10.130341 53.524996,10.130153 53.524855,10.129963 53.524714,10.129583 53.524436,10.129391 53.524297,10.129200 53.524159,10.129007 53.524020,10.128812 53.523882,10.128618 53.523746,10.128424 53.523609,10.128227 53.523472,10.128029 53.523336,10.127831 53.523201,10.127632 53.523066,10.127433 53.522929,10.127234 53.522796,10.127031 53.522662,10.126627 53.522396,10.126451 53.522282)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,130,1,3585.0,,0,E22,"LINESTRING (10.126451 53.522282,10.126423 53.522264,10.126221 53.522131,10.126014 53.521999,10.125809 53.521868,10.125602 53.521737,10.125395 53.521607,10.125187 53.521477,10.124977 53.521347,10.124557 53.521089,10.124347 53.520960,10.124136 53.520833,10.123923 53.520705,10.123709 53.520578,10.123495 53.520452,10.123280 53.520326,10.123065 53.520201,10.122848 53.520076,10.122630 53.519951,10.122413 53.519826,10.122214 53.519714)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,611,6,3585.0,,0,E22,"LINESTRING (10.122214 53.519714,10.121976 53.519580,10.121754 53.519456,10.121534 53.519334,10.121089 53.519091,10.120867 53.518970,10.120644 53.518850,10.120419 53.518730,10.120193 53.518610,10.119742 53.518373,10.119516 53.518255,10.119285 53.518138,10.119057 53.518020,10.118829 53.517903,10.118599 53.517786,10.118369 53.517671,10.118136 53.517555,10.117904 53.517441,10.117671 53.517326,10.117439 53.517213,10.117205 53.517100,10.116735 53.516875,10.116453 53.516738,10.116264 53.516651,10.116024 53.516541,10.115307 53.516211,10.115068 53.516103,10.114827 53.515994,10.114186 53.515708,10.113413 53.515375,10.113122 53.515250,10.112631 53.515043,10.112385 53.514940,10.112139 53.514838,10.111893 53.514737,10.111641 53.514633,10.111393 53.514533,10.110893 53.514333,10.110641 53.514233,10.110139 53.514036,10.109977 53.513973,10.109279 53.513706)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,611,6,3585.0,,0,E22,"LINESTRING (10.109279 53.513706,10.108965 53.513586,10.108640 53.513464,10.108100 53.513265,10.107527 53.513056,10.107290 53.512970,10.107070 53.512891,10.106810 53.512799,10.106623 53.512732,10.105774 53.512436,10.105512 53.512346,10.105252 53.512258,10.104987 53.512167,10.104729 53.512080,10.104465 53.511992,10.104199 53.511904,10.103673 53.511732,10.103407 53.511646,10.103140 53.511560,10.102610 53.511391,10.102077 53.511223,10.101810 53.511140,10.101274 53.510975,10.100736 53.510812,10.100466 53.510732,10.100285 53.510678,10.099658 53.510492,10.099387 53.510413,10.098846 53.510257,10.098643 53.510199)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,612,6,3585.0,,0,E22,"LINESTRING (10.098643 53.510199,10.097995 53.510015,10.097870 53.509981,10.097481 53.509874,10.096932 53.509723,10.096662 53.509648,10.096383 53.509572,10.096068 53.509489,10.095833 53.509426,10.095284 53.509281,10.095009 53.509208,10.094822 53.509161)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,612,6,3585.0,,0,E22,"LINESTRING (10.094822 53.509161,10.094731 53.509138,10.094452 53.509066,10.094175 53.508995,10.093899 53.508925,10.093621 53.508855,10.093345 53.508785,10.093065 53.508715,10.092785 53.508648,10.092508 53.508580,10.092089 53.508480,10.091950 53.508447,10.091865 53.508427)",EPSG:4326
242600007 242600012,A,1,A 1,BAB A1,2,612,6,3585.0,,0,E22,"LINESTRING (10.091865 53.508427,10.091454 53.508332,10.091240 53.508283,10.090763 53.508179)",EPSG:4326
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.036220 53.508627,10.037530 53.506634)",EPSG:4326
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.037530 53.506634,10.037973 53.505959,10.038531 53.504959,10.038727 53.504457,10.038873 53.504078,10.039018 53.503538,10.039077 53.503176,10.039120 53.502822,10.039132 53.502498,10.039128 53.502261,10.039117 53.501898,10.039088 53.501620,10.039049 53.501335,10.039011 53.501169)",EPSG:4326
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.039011 53.501169,10.038969 53.500979,10.038853 53.500577,10.038813 53.500470,10.038631 53.500008,10.038400 53.499554,10.038245 53.499271,10.037887 53.498740,10.037716 53.498499,10.037446 53.498177,10.036085 53.496511,10.036073 53.496496)",EPSG:4326
