{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
232500005K 232500005L,A,7,A 7,BAB A7,2,319,3,38.0,,0,,"LINESTRING (9.924928 53.633784,9.924885 53.633756,9.924812 53.633731,9.924740 53.633718,9.924651 53.633708,9.924569 53.633707,9.924487 53.633716,9.924399 53.633735)",EPSG:4326
232500003C 232500003D,A,7,A 7,BAB A7,2,320,3,665.0,,0,,"LINESTRING (9.913957 53.620564,9.913747 53.620348,9.913520 53.620111,9.913252 53.619806,9.913061 53.619570,9.912876 53.619328,9.912749 53.619142,9.912475 53.618621,9.912385 53.618468,9.912268 53.618293,9.912176 53.618165,9.912066 53.618048,9.912005 53.618002)",EPSG:4326
232500003C 232500003D,A,7,A 7,BAB A7,2,320,3,665.0,,0,,"LINESTRING (9.912005 53.618002,9.911909 53.617930,9.911770 53.617845,9.911644 53.617781,9.911514 53.617731,9.911358 53.617680,9.911191 53.617635,9.911022 53.617610,9.910771 53.617588,9.910602 53.617586,9.910449 53.617592,9.910274 53.617606,9.910066 53.617640,9.909904 53.617681,9.909777 53.617724,9.909672 53.617758,9.909569 53.617808,9.909504 53.617844)",EPSG:4326
232500003C 232500003D,A,7,A 7,BAB A7,2,320,3,665.0,,0,,"LINESTRING (9.909504 53.617844,9.909473 53.617861,9.909386 53.617912,9.907793 53.618899)",EPSG:4326
242600019E 242600019F,A,1,A 1,BAB A1,2,612,6,1020.0,,0,,"LINESTRING (10.084040 53.507501,10.083306 53.507486,10.082757 53.507478,10.082621 53.507474)",EPSG:4326
242600019E 242600019F,A,1,A 1,BAB A1,2,612,6,1020.0,,0,,"LINESTRING (10.082621 53.507474,10.082475 53.507470,10.082244 53.507461,10.081973 53.507437,10.081712 53.507407,10.081493 53.507388,10.081314 53.507374,10.081095 53.507370,10.080684 53.507375,10.079654 53.507426,10.078243 53.507540,10.077951 53.507573,10.077799 53.507601)",EPSG:4326
242600019E 242600019F,A,1,A 1,BAB A1,2,612,6,1020.0,,0,,"LINESTRING (10.077799 53.507601,10.077722 53.507614,10.077545 53.507670,10.077388 53.507742,10.077300 53.507836,10.077240 53.507930,10.077228 53.508044,10.077280 53.508145,10.077364 53.508231,10.077465 53.508296,10.077608 53.508349,10.077774 53.508375,10.077966 53.508387,10.078166 53.508373,10.078308 53.508342,10.078469 53.508289,10.078605 53.508234,10.078767 53.508153,10.078898 53.508065,10.079022 53.507971,10.079088 53.507902)",EPSG:4326
242600019E 242600019F,A,1,A 1,BAB A1,2,612,6,1020.0,,0,,"LINESTRING (10.079088 53.507902,10.079130 53.507857,10.079331 53.507563,10.080297 53.506461,10.080566 53.506149,10.080993 53.505685,10.081766 53.504953)",EPSG:4326
232500005P 232500005Q,A,7,A 7,BAB A7,2,319,3,550.0,,0,,"LINESTRING (9.922130 53.635312,9.922346 53.635091,9.922540 53.634908,9.922746 53.634726,9.922819 53.634658,9.922868 53.634591,9.922902 53.634538,9.922929 53.634482,9.922932 53.634472)",EPSG:4326
252600102G 252600102T,A,1,A 1,BAB A1,2,137,1,159.0,,0,,"LINESTRING (10.025112 53.480042,10.025016 53.480174)",EPSG:4326
232500005P 232500005Q,A,7,A 7,BAB A7,2,319,3,550.0,,0,,"LINESTRING (9.922932 53.634472,9.922949 53.634412,9.922959 53.634315,9.922960 53.633930,9.922961 53.633518,9.922966 53.633169,9.922938 53.632804,9.922920 53.632718,9.922881 53.632547,9.922849 53.632410,9.922620 53.631675,9.922439 53.631049,9.922272 53.630539)",EPSG:4326
242600012 242600019,A,1,A 1,BAB A1,2,612,6,664.0,,0,E22,"LINESTRING (10.090763 53.508179,10.090534 53.508129,10.090124 53.508043,10.089872 53.507992,10.089678 53.507954,10.089393 53.507897,10.089105 53.507843,10.088818 53.507791,10.088530 53.507740,10.088238 53.507690,10.087948 53.507642,10.087657 53.507597,10.087365 53.507553,10.087073 53.507512,10.086652 53.507455,10.086369 53.507421,10.086185 53.507401,10.086096 53.507390,10.085808 53.507359,10.085491 53.507327,10.085295 53.507310,10.084995 53.507284,10.084698 53.507261,10.084398 53.507240,10.084098 53.507222,10.083797 53.507206,10.083497 53.507193,10.083196 53.507182,10.082896 53.507173,10.082594 53.507167,10.082292 53.507163,10.081992 53.507161,10.081690 53.507162,10.081388 53.507166,10.081088 53.507171,10.080945 53.507176)",EPSG:4326
242600012M 242600012N,A,1,A 1,BAB A1,2,612,6,582.0,,0,,"LINESTRING (10.087244 53.507272,10.087759 53.507347,10.088576 53.507482,10.089307 53.507612,10.090312 53.507811,10.090411 53.507847)",EPSG:4326
242600012M 242600012N,A,1,A 1,BAB A1,2,612,6,582.0,,0,,"LINESTRING (10.090411 53.507847,10.090432 53.507855,10.090981 53.507973,10.091138 53.508005,10.091313 53.508037,10.091328 53.508039)",EPSG:4326
242600012M 242600012N,A,1,A 1,BAB A1,2,612,6,582.0,,0,,"LINESTRING (10.091328 53.508039,10.091499 53.508059,10.091615 53.508067,10.091716 53.508073,10.091806 53.508069,10.091940 53.508062,10.092044 53.508048,10.092132 53.508029,10.092231 53.508001,10.092305 53.507975,10.092385 53.507940,10.092462 53.507896,10.092530 53.507847,10.092587 53.507799,10.092634 53.507751,10.092669 53.507701,10.092693 53.507660,10.092710 53.507620,10.092725 53.507575,10.092729 53.507517,10.092726 53.507436,10.092715 53.507392,10.092674 53.507303,10.092592 53.507196,10.092517 53.507138,10.092431 53.507083,10.092300 53.507019,10.092187 53.506980,10.092060 53.506950,10.091951 53.506935,10.091826 53.506925,10.091699 53.506918,10.091509 53.506912,10.091387 53.506914,10.091281 53.506929,10.091191 53.506956,10.091098 53.506998,10.091021 53.507046)",EPSG:4326
242600010S 242600010P,A,1,A 1,BAB A1,2,130,1,781.0,,0,,"LINESTRING (10.154088 53.562368,10.154295 53.562245,10.154484 53.562132,10.154646 53.562019,10.154840 53.561877,10.155052 53.561690,10.155224 53.561527,10.155371 53.561352,10.155524 53.561137,10.155636 53.560946,10.155736 53.560733,10.155802 53.560543,10.155852 53.560323,10.155880 53.560113,10.155876 53.559855,10.155851 53.559625,10.155799 53.559410,10.155725 53.559223,10.155624 53.559024,10.155517 53.558846,10.155329 53.558604,10.155193 53.558457,10.154974 53.558249,10.154704 53.558017,10.154276 53.557662,10.153834 53.557264,10.153458 53.556901,10.153047 53.556481,10.152767 53.556144)",EPSG:4326
252600104 252700004,A,25,A 25,BAB A25,2,610,6,1979.0,,0,,"LINESTRING (10.149426 53.480999,10.150220 53.480767,10.151298 53.480446,10.152796 53.479965,10.155766 53.478933,10.157205 53.478427,10.158857 53.477871,10.160418 53.477374,10.161706 53.476997,10.162736 53.476698,10.163921 53.476373,10.165083 53.476059,10.166303 53.475755,10.167867 53.475382,10.168630 53.475213,10.169817 53.474964,10.171222 53.474668,10.172748 53.474381,10.174051 53.474148,10.175279 53.473950,10.176591 53.473741)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,131,1,741.0,,0,,"LINESTRING (10.089434 53.511224,10.089490 53.511180,10.089570 53.511111,10.089692 53.510961)",EPSG:4326
252700004P 252700004Q,A,25,A 25,BAB A25,2,610,6,77.0,,0,,"LINESTRING (10.176589 53.472488,10.176546 53.472502,10.176486 53.472523,10.176439 53.472543,10.176402 53.472565,10.176352 53.472596,10.176309 53.472629,10.176266 53.472673,10.176236 53.472713,10.176219 53.472760,10.176210 53.472801,10.176207 53.472859,10.176219 53.472912,10.176237 53.472946,10.176307 53.473051,10.176323 53.473074)",EPSG:4326
232500005E 232500005F,A,7,A 7,BAB A7,2,319,3,24.0,,0,,"LINESTRING (9.923262 53.634910,9.923216 53.634884,9.923177 53.634871,9.923119 53.634863,9.923062 53.634861,9.922994 53.634864,9.922926 53.634877)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.089692 53.510961,10.089719 53.510927,10.089914 53.510681,10.090027 53.510498)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.090027 53.510498,10.090028 53.510497,10.090119 53.510343,10.090174 53.510223,10.090213 53.510137)",EPSG:4326
